# Fix print output for fix statdump
2000 -2.25225680873644 -4.87252665219126 2.62026984345482 1.74764202977238 4.56789196463979
2001 -2.25186048623067 -4.87040055624822 2.61854007001755 1.74648832235232 4.57677285946514
2002 -2.25197534506788 -4.86800980982838 2.6160344647605 1.74481715819029 4.58615137008669
2003 -2.25209813397957 -4.86564403553273 2.61354590155316 1.74315736056839 4.59443025678948
2004 -2.25198708501382 -4.86326963105943 2.61128254604561 1.74164776978209 4.60138201823355
2005 -2.25189228985842 -4.86093157321073 2.60903928335231 1.74015158030511 4.60728125489502
2006 -2.25186741206165 -4.85909270641938 2.60722529435773 1.73894170361382 4.61085103583947
2007 -2.25181097107086 -4.85895088875425 2.60713991768339 1.73888475991208 4.60839749616404
2008 -2.25167129618471 -4.86181990165649 2.61014860547177 1.74089146515528 4.59604735201697
2009 -2.25168078313955 -4.86842661671267 2.61674583357312 1.74529162002433 4.57219926230162
2010 -2.25201666679007 -4.87819738687131 2.62618072008123 1.75158440862734 4.53915193253088
2011 -2.25205436895606 -4.8887842955616 2.63672992660554 1.75862041552895 4.50354329555012
2012 -2.25200656368882 -4.89852487399901 2.64651831031019 1.76514897624514 4.47107475211425
2013 -2.25235195132697 -4.90618460034419 2.65383264901723 1.77002742255338 4.44644850782501
2014 -2.25238518348313 -4.90953249437771 2.65714731089458 1.77223820341086 4.43559028309671
2015 -2.25221465845291 -4.90785505607608 2.65564039762318 1.77123313709111 4.44076327866576
2016 -2.25226794305136 -4.90191964790557 2.64965170485421 1.76723885718418 4.45998930492209
2017 -2.2523449611663 -4.89313320843657 2.64078824727027 1.76132719467298 4.48827158072482
2018 -2.25205318409998 -4.88363589686418 2.6315827127642 1.75518737703186 4.51797987938985
2019 -2.25230772435108 -4.87688514432092 2.62457741996984 1.75051505515293 4.53938732850448
2020 -2.2522940131521 -4.87377728790427 2.62148327475217 1.74845135234685 4.54818268854518
2021 -2.25203732943486 -4.87497095795393 2.62293362851907 1.7494186951598 4.54218008491639
2022 -2.25229211753311 -4.88094265554002 2.62865053800691 1.75323170370406 4.52103351354211
2023 -2.25178325640591 -4.88967331111909 2.63789005471318 1.7593941864617 4.489272519339
2024 -2.25185893458058 -4.9015977013848 2.64973876680421 1.76729692491465 4.44787177991804
2025 -2.25187999661652 -4.91472593813983 2.66284594152331 1.77603902049991 4.40240840422168
2026 -2.25209641694791 -4.92751464991972 2.6754182329718 1.78442436485703 4.35848759811646
2027 -2.25220110746987 -4.93829100348716 2.6860898960173 1.79154204661506 4.32124645603106
2028 -2.25177943930364 -4.94656924357648 2.69478980427284 1.79734462658999 4.29194485666859
2029 -2.25156527632669 -4.95412775273868 2.702562476412 1.80252876766155 4.26650757192226
2030 -2.25126639325978 -4.96157427209859 2.71030787883881 1.80769472064629 4.24286008769845
2031 -2.25140716648099 -4.96893119876107 2.71752403228008 1.81250768030338 4.22188978278808
2032 -2.25133166813524 -4.97348224449747 2.72215057636223 1.81559344756157 4.21105457927407
2033 -2.25156347401945 -4.97294584610416 2.72138237208471 1.81508107816336 4.21805943997452
2034 -2.25167561383853 -4.96457734219895 2.71290172836042 1.80942474110742 4.25048318505135
2035 -2.25173981776406 -4.94802129785199 2.69628148008793 1.79833952997972 4.30919149889549
2036 -2.2514379439479 -4.92552462057072 2.67408667662282 1.78353625638747 4.38636955878285
2037 -2.25114866168694 -4.9025604094471 2.65141174776017 1.76841275343931 4.4651038630752
2038 -2.25125303576445 -4.88436421597108 2.63311118020663 1.75620681934243 4.52914118576189
2039 -2.25156399531234 -4.87297492066849 2.62141092535616 1.74840309745218 4.57147127336185
2040 -2.25121850647953 -4.8679016963326 2.61668318985307 1.74524983852678 4.59201943367815
2041 -2.25113634721605 -4.87016966439995 2.6190333171839 1.74681730353765 4.58879022121889
2042 -2.2514726461368 -4.87937484337866 2.62790219724186 1.75273258267771 4.56326100133957
2043 -2.25179368718661 -4.89269464664973 2.64090095946312 1.7614023703523 4.5237151557852
2044 -2.25197483010221 -4.90631039871486 2.65433556861265 1.77036285496114 4.4820688470539
2045 -2.25186246702456 -4.91681911671284 2.66495664968827 1.77744680005013 4.44887173390453
2046 -2.25205247463554 -4.92290439644598 2.67085192181045 1.78137877116501 4.42930426223187
2047 -2.25201281049677 -4.92337158315691 2.67135877266014 1.78171682560241 4.42645692263738
2048 -2.25213756077299 -4.91926198676161 2.66712442598862 1.77889264234881 4.43783921513541
2049 -2.25199542105594 -4.91240100445808 2.66040558340214 1.77441137423634 4.45723979121246
