# Fix print output for fix statdump
2000 -2.93143174260434 -5.15547169732881 2.22403995472447 1.48336848224944 3.19608144565808
2001 -2.93151212745838 -5.1550918875769 2.22357976011852 1.48306154613855 3.1960318786731
2002 -2.93144105626617 -5.15455685226446 2.22311579599829 1.48275209587378 3.19662241496601
2003 -2.93157329875726 -5.15395639916146 2.2223831004042 1.482263409711 3.19819625959221
2004 -2.93145276121442 -5.15219716081038 2.22074439959596 1.48117044502499 3.20347976310389
2005 -2.93143875943931 -5.14882399625337 2.21738523681405 1.47892998338812 3.21436772972576
2006 -2.93112267432318 -5.14280419501118 2.211681520688 1.47512577442366 3.23330187839307
2007 -2.93129519741517 -5.13495119708076 2.20365599966559 1.46977299066949 3.25873073624703
2008 -2.93146629544019 -5.12579445118605 2.19432815574586 1.4635515962883 3.28805461907106
2009 -2.93092905483173 -5.11671211837646 2.18578306354474 1.45785227401572 3.31576839312489
2010 -2.93045372615516 -5.1110801536535 2.18062642749835 1.45441295118818 3.33244112196537
2011 -2.93032574748177 -5.11100422290729 2.18067847542552 1.45444766560713 3.33188527791484
2012 -2.93065435567333 -5.11640787311569 2.18575351744237 1.45783256764447 3.31448149238265
2013 -2.93073654538928 -5.12457624540515 2.19383970001587 1.46322581084847 3.28764304626639
2014 -2.93105217756264 -5.13346723963323 2.20241506207059 1.46894532221284 3.25848613515167
2015 -2.9310893244859 -5.1405203201233 2.20943099563741 1.47362474117043 3.2342799485239
2016 -2.93101539716915 -5.14467471605428 2.21365931888514 1.47644490697955 3.21873556022987
2017 -2.93114903960648 -5.14611406656567 2.21496502695919 1.47731577541874 3.2119512800609
2018 -2.9307959329916 -5.14519064009569 2.21439470710409 1.47693538904301 3.21193452326648
2019 -2.93082784748533 -5.1442398738367 2.21341202635136 1.47627997021674 3.21282920002832
2020 -2.93092720499521 -5.14372407466683 2.21279686967162 1.47586967901292 3.21280807206222
2021 -2.93122011043603 -5.14375997224412 2.2125398618081 1.4756982624142 3.21174884695776
2022 -2.93133726987119 -5.14371299041157 2.21237572054038 1.47558878507201 3.21105996403836
2023 -2.93127923962505 -5.14325966049976 2.2119804208747 1.47532513195559 3.21176957538104
2024 -2.93120062548864 -5.14224272088716 2.21104209539852 1.47469929677916 3.21465071051408
2025 -2.93102922995044 -5.14051999782235 2.20949076787191 1.47366460747255 3.2200956059016
