# Fix print output for fix statdump
2169 -1.965478391895 -3.54279974797852 1.57732135608353 1.05360539375703 -0.226452918338938
2170 -1.96527155846338 -3.54569720010999 1.5804256416466 1.0556789674143 -0.227899581887933
2171 -1.96546359501349 -3.54801500995845 1.58255141494497 1.05709892296389 -0.228148293367565
2172 -1.96537412493438 -3.54905289612654 1.58367877119215 1.05785196457976 -0.226475951289634
2173 -1.96561504851416 -3.54976808936759 1.58415304085343 1.05816876310105 -0.224157669581153
2174 -1.96589083704832 -3.55047018123004 1.58457934418172 1.05845352148864 -0.222077989975932
2175 -1.96591124150073 -3.55144217167853 1.5855309301778 1.0590891536217 -0.221040636050816
2176 -1.96613181664789 -3.5532974291688 1.58716561252091 1.06018107450842 -0.221777145495476
2177 -1.96603071513145 -3.55509181830787 1.58906110317642 1.06144720786213 -0.222932912527657
2178 -1.96573951701013 -3.5561692590057 1.59042974199556 1.0623614193108 -0.223087402863959
2179 -1.96596450434057 -3.55646298447273 1.59049848013216 1.06240733441313 -0.221429423504429
2180 -1.966210223101 -3.55508168741045 1.58887146430945 1.061320534542 -0.216702426778301
2181 -1.96596009422255 -3.55176011417506 1.5858000199525 1.05926889786782 -0.2088738769202
2182 -1.96609458197668 -3.54832739831079 1.58223281633411 1.05688610823622 -0.200651456994554
2183 -1.96600127437714 -3.54546529348397 1.57946401910683 1.05503663115812 -0.193934943143132
2184 -1.96565923928295 -3.54403825341193 1.57837901412898 1.05431187897461 -0.190409928469372
2185 -1.96615642982661 -3.5450654681442 1.57890903831759 1.05466591991991 -0.191002818787126
2186 -1.96610185852603 -3.54642672777874 1.58032486925271 1.05561165434753 -0.192871175386676
2187 -1.96624604614306 -3.54814724155217 1.58190119540911 1.05666459497647 -0.195293928683656
2188 -1.96634587693109 -3.54955279720506 1.58320692027397 1.05753678170942 -0.197119111176304
2189 -1.96591394077876 -3.54991104763345 1.58399710685469 1.05806460366549 -0.197308497632255
2190 -1.96624839104802 -3.55028512395572 1.58403673290771 1.05809107273157 -0.196639470681323
2191 -1.96588170250858 -3.54893866336349 1.58305696085491 1.05743661312161 -0.193099372193222
2192 -1.96553664205102 -3.54637489615145 1.58083825410043 1.0559545806907 -0.186979378014033
2193 -1.96578634241128 -3.5430925444587 1.57730620204742 1.05359527129586 -0.17874435274529
2194 -1.96557649997484 -3.53817430685792 1.57259780688308 1.05045019846593 -0.167688074287227
2195 -1.96561213380939 -3.53267402553168 1.5670618917223 1.04675236602977 -0.155294586513019
2196 -1.96561174744842 -3.52679946645705 1.56118771900863 1.04282858725691 -0.142370446777249
2197 -1.96538867343639 -3.52091793690235 1.55552926346597 1.03904890136279 -0.129959362283091
2198 -1.96536138554794 -3.51600344233882 1.55064205679088 1.03578438757591 -0.11970588050119
2199 -1.96523846013463 -3.51228707671758 1.54704861658294 1.03338407265553 -0.11246427919187
2200 -1.9655910607656 -3.51084693917634 1.54525587841074 1.03218657501148 -0.109880678884001
2201 -1.96570014887167 -3.51145733521041 1.54575718633874 1.0325214343189 -0.112233479972816
2202 -1.96555458255404 -3.51441346338467 1.54885888083063 1.03459327721498 -0.120100929511538
2203 -1.96529149491348 -3.51966173646728 1.5543702415538 1.03827470799158 -0.133221579684427
2204 -1.96535777680696 -3.52688215890241 1.56152438209544 1.04305346853603 -0.150490592658739
2205 -1.96562116439264 -3.53497759515274 1.56935643076009 1.0482850522494 -0.169807194132853
2206 -1.96533167540644 -3.54257308423138 1.57724140882493 1.05355199128293 -0.18907982686095
2207 -1.96470404202975 -3.5497743128469 1.58507027081714 1.05878144639058 -0.208159031827361
2208 -1.96441542042471 -3.55737727578848 1.59296185536376 1.06405279836431 -0.227779937842366
2209 -1.96477221801063 -3.56554831088889 1.60077609287826 1.0692724847406 -0.247801430928195
2210 -1.96496443803407 -3.572806128978 1.60784169094393 1.07399210145244 -0.265956981561596
2211 -1.9648953297744 -3.57803659103671 1.61314126126231 1.07753206231742 -0.280043808351723
2212 -1.96462988427927 -3.58041615334915 1.61578626906987 1.07929885161614 -0.288320938848983
2213 -1.96451322942749 -3.57995471439177 1.61544148496427 1.07906854572956 -0.290452691755049
2214 -1.96445172292129 -3.57690865575347 1.61245693283217 1.07707495056761 -0.287051424448324
2215 -1.96492267323531 -3.57264828308603 1.60772560985072 1.07391456261392 -0.280415085220498
2216 -1.96492348967773 -3.56730989446046 1.60238640478273 1.07034812687379 -0.271903643683425
2217 -1.96481585767433 -3.5623323704335 1.59751651275917 1.06709517877716 -0.264144211835594
2218 -1.96519004244734 -3.55917122367945 1.59398118123211 1.06473367878779 -0.259566902277717
2219 -1.96560173392601 -3.55808886196846 1.59248712804245 1.06373569413925 -0.259216792817299
2220 -1.96535760731225 -3.55898497071947 1.59362736340722 1.06449733863601 -0.263605019526278
2221 -1.96550628924644 -3.56318315629274 1.59767686704629 1.06720229083849 -0.274279259358725
2222 -1.96561313595257 -3.56984767139474 1.60423453544217 1.07158262510944 -0.289920698849718
2223 -1.96539864098979 -3.5775196183813 1.61212097739151 1.0768505419758 -0.307810371480485
2224 -1.96542256451221 -3.58517933096874 1.61975676645652 1.08195102990964 -0.325268080762526
2225 -1.96559294684738 -3.59134534506019 1.62575239821281 1.08595593983687 -0.339333998509862
2226 -1.96568481082786 -3.59498869567423 1.62930388484637 1.0883282309737 -0.348082453141416
2227 -1.96590163738168 -3.59618798322669 1.63028634584501 1.0889844867223 -0.351370288487195
2228 -1.96568358025622 -3.59484768213073 1.62916410187451 1.08823485996054 -0.349468857023771
2229 -1.96555273243522 -3.59234179895466 1.62678906651944 1.08664840451136 -0.344517459811442
2230 -1.96556683244041 -3.5896593506573 1.62409251821689 1.08484718764129 -0.338392623969539
2231 -1.96577357170342 -3.58753442938312 1.6217608576797 1.08328970532551 -0.332511057442959
2232 -1.96578531061917 -3.58583566520818 1.62005035458901 1.08214713835561 -0.327021088688477
2233 -1.96600535863796 -3.58481415688895 1.61880879825099 1.08131781435682 -0.322064086510178
2234 -1.96564927219716 -3.58330140457824 1.61765213238108 1.08054519475423 -0.316142632106159
2235 -1.96627539596721 -3.58244777196011 1.6161723759929 1.07955675995873 -0.310046314227298
2236 -1.96608850188925 -3.58019690451032 1.61410840262107 1.07817808498628 -0.301510446032255
2237 -1.96627109168117 -3.57768545681716 1.61141436513599 1.07637854527022 -0.291657496032516
2238 -1.96629667494774 -3.57448721036042 1.60819053541269 1.07422511954507 -0.280197724759159
2239 -1.96620729785132 -3.57072143571336 1.60451413786204 1.0717693915008 -0.267376177264376
2240 -1.9663505424573 -3.56666927648406 1.60031873402676 1.06896698215486 -0.253491492486546
2241 -1.96628867456311 -3.56179074044206 1.59550206587895 1.06574958607961 -0.237989923583222
2242 -1.9660064984705 -3.55617216075805 1.59016566228756 1.06218502164544 -0.221141034705245
2243 -1.96586841700559 -3.55062305666768 1.5847546396621 1.05857061383822 -0.204283297643651
2244 -1.96568026581242 -3.54558265891881 1.57990239310638 1.05532945240766 -0.188564849067045
2245 -1.96561286411608 -3.54166400683092 1.57605114271484 1.05275692768428 -0.17512899847442
2246 -1.96588110310883 -3.53914159257225 1.57326048946342 1.05089285140936 -0.164423732896133
2247 -1.96563597755393 -3.53698657256597 1.57135059501204 1.04961709673342 -0.155371373604989
2248 -1.96569949417832 -3.53584813321176 1.57014863903344 1.04881422463812 -0.148553417106848
2249 -1.96575488436313 -3.53537238009001 1.56961749572689 1.04845943615416 -0.143644918787378
2250 -1.96542366574117 -3.53526567956973 1.56984201382857 1.04860940780199 -0.140470301420263
2251 -1.96599181075998 -3.53694141432738 1.5709496035674 1.04934924595761 -0.140581426742988
2252 -1.96577860380994 -3.53877610619602 1.57299750238608 1.05071718358992 -0.142421546651323
2253 -1.96590383810437 -3.54175018289702 1.57584634479266 1.05262012855035 -0.146810445229835
2254 -1.96595368155966 -3.54501160110824 1.57905791954858 1.05476536830903 -0.152445140755005
