# Fix print output for fix statdump
2000 -4.02804791351599 -5.54342329843084 1.51537538491485 1.01071029771036 1.07274519576838
2001 -4.02821160118879 -5.54108401041202 1.51287240922323 1.00904088739024 1.08078942142689
2002 -4.02817496347436 -5.53930783438435 1.51113287090998 1.00788066708841 1.08695603086566
2003 -4.02805410845067 -5.53815057326389 1.51009646481322 1.00718941505605 1.09115628055892
2004 -4.02806668266298 -5.53783913705526 1.50977245439228 1.00697330974494 1.09294915381661
2005 -4.02784408607832 -5.53808083662193 1.51023675054361 1.00728298146457 1.09268271373304
2006 -4.02788243020584 -5.5393338751668 1.51145144496097 1.0080931465025 1.08971057728733
2007 -4.02785631195734 -5.54099908283184 1.5131427708745 1.00922121056809 1.08544910699134
2008 -4.02786934228447 -5.54270237626228 1.5148330339778 1.01034856577087 1.08127540343944
2009 -4.02793045896286 -5.54391664426017 1.5159861852973 1.0111176833935 1.07889210006964
2010 -4.02792640201709 -5.54409796459923 1.51617156258214 1.01124132452731 1.07984097432276
2011 -4.02790563616584 -5.54305182926622 1.51514619310038 1.01055743358881 1.08477253723153
2012 -4.02783881967312 -5.54065997688396 1.51282115721084 1.00900670382277 1.0939257172638
2013 -4.02780107340162 -5.53699999675676 1.50919892335513 1.00659078160632 1.10701953190504
2014 -4.02773082297408 -5.53217304547439 1.50444222250031 1.00341820365306 1.12343205737164
2015 -4.02775561882869 -5.52680866514548 1.49905304631679 0.999823783472369 1.14116298099576
2016 -4.02752367816394 -5.52146725368718 1.49394357552324 0.996415918465257 1.15771085471708
2017 -4.02739462855742 -5.51768634260048 1.49029171404306 0.993980235504737 1.16866645864076
2018 -4.02734948075012 -5.51654923184812 1.48919975109801 0.993251928707443 1.17054595409539
2019 -4.02700118550983 -5.51825852773975 1.49125734222992 0.994624280776909 1.16213003585343
2020 -4.02705029707389 -5.52330728666369 1.49625698958981 0.99795889682113 1.1430370667633
2021 -4.02711298786706 -5.53036884753988 1.50325585967282 1.00262693494268 1.11699600212866
2022 -4.02716653739013 -5.53809203098417 1.51092549359404 1.00774235258837 1.08843241414581
2023 -4.02735044085579 -5.5453036141783 1.51795317332251 1.01242960588632 1.0615004674293
2024 -4.02735056343587 -5.5506733733232 1.52332280988733 1.01601099372267 1.04016022165562
2025 -4.02721900828546 -5.55367291559058 1.52645390730512 1.01809934254686 1.02640063014563
2026 -4.02710540515411 -5.55435277531795 1.52724737016385 1.01862855866726 1.02048877014756
2027 -4.0274691380491 -5.5535611792388 1.52609204118969 1.01785798861377 1.02060308598773
2028 -4.02749032496388 -5.55127947630162 1.52378915133774 1.01632202959593 1.02560624476944
2029 -4.02749217592664 -5.54878114515387 1.52128896922723 1.0146544825113 1.03200252711089
2030 -4.02752938299984 -5.54681243486722 1.51928305186738 1.01331659531045 1.03747684335191
2031 -4.02767881184994 -5.54565019600973 1.51797138415979 1.012441751973 1.04118970862999
2032 -4.02782682517423 -5.54500341805582 1.51717659288159 1.01191164983633 1.04378641756353
2033 -4.02779190211753 -5.5443547866517 1.51656288453418 1.01150232462708 1.04652688054928
2034 -4.02769278871562 -5.54342497778653 1.51573218907091 1.01094827546715 1.05040291240122
2035 -4.02781348018167 -5.54207285902113 1.51425937883946 1.00996595486044 1.05624028208634
2036 -4.02775217859043 -5.53953160576786 1.51177942717743 1.00831190088306 1.06575648564297
2037 -4.02790433307378 -5.53603940192952 1.50813506885574 1.00588122230603 1.07871383084167
2038 -4.02794908869408 -5.531449203011 1.50350011431692 1.00278984552346 1.09496032754894
2039 -4.02803852299603 -5.52640681674049 1.49836829374446 0.999367073878743 1.11256072047438
2040 -4.02787758977813 -5.52130520279564 1.49342761301751 0.99607178682437 1.12968318035725
2041 -4.02767790034684 -5.51704633381226 1.48936843346542 0.993364434828027 1.14370420962388
2042 -4.02786010998114 -5.51452912516365 1.48666901518251 0.991564003143889 1.15235443964673
2043 -4.02773371285956 -5.51318202618238 1.48544831332283 0.990749831320658 1.15630757313149
2044 -4.02762472943467 -5.51308905654107 1.4854643271064 0.990760512037878 1.1557842194252
2045 -4.02744280689318 -5.51374819939045 1.48630539249727 0.991321477630998 1.15224469854768
2046 -4.02771371699074 -5.5153490959499 1.48763537895916 0.992208539032567 1.14598736723265
2047 -4.02756171657411 -5.516883659156 1.48932194258189 0.993333426791868 1.1389556609293
2048 -4.02741066876907 -5.51883338831423 1.49142271954516 0.994734582526023 1.13046013337406
2049 -4.02743703113886 -5.52150882729124 1.49407179615238 0.996501437810191 1.11997915117665
2050 -4.02720531517183 -5.52449662678687 1.49729131161505 0.998648758839787 1.10830305445308
2051 -4.02731519158832 -5.52814173740041 1.50082654581209 1.00100665487224 1.09539675457012
2052 -4.02734701113942 -5.53149410132659 1.50414709018717 1.0032213591807 1.08365306759372
2053 -4.02726232393606 -5.53393658836102 1.50667426442495 1.00490690921118 1.07496596465668
2054 -4.02703601332355 -5.53515461226255 1.508118598939 1.00587023736156 1.0702798297104
2055 -4.02682855622654 -5.5355172485507 1.50868869232416 1.00625047268858 1.06867844583396
2056 -4.02704031806483 -5.53596297673126 1.50892265866643 1.00640652127812 1.06781361713168
2057 -4.02710742044255 -5.53633081257403 1.50922339213148 1.00660710155217 1.06726521738046
2058 -4.02713505496129 -5.53668870217077 1.50955364720948 1.00682737186376 1.06690748678952
2059 -4.02720189108837 -5.5368015226268 1.50959963153844 1.00685804204309 1.06750090739464
2060 -4.02715457205427 -5.53631434458825 1.50915977253398 1.00656466917339 1.06981799752044
2061 -4.02712868242093 -5.53545457862162 1.50832589620069 1.00600849846779 1.07328092583134
2062 -4.02682903409212 -5.5342305329665 1.50740149887438 1.00539195295295 1.07738154429352
2063 -4.02698482420688 -5.53370898220889 1.506724158002 1.00494018674268 1.07990619479829
2064 -4.02699777648007 -5.5334944166587 1.50649664017864 1.0047884391234 1.08118156799356
2065 -4.02703257568656 -5.53371988867302 1.50668731298646 1.00491561221349 1.08105459089838
2066 -4.02690332010903 -5.53394715499329 1.50704383488427 1.00515340171243 1.08063856088007
2067 -4.02678607493077 -5.53403819930348 1.50725212437272 1.00529232460439 1.08067031574522
2068 -4.02666178236649 -5.53379998894986 1.50713820658337 1.00521634482807 1.08177119738821
2069 -4.02657972358819 -5.53328431055402 1.50670458696583 1.00492713344381 1.08388910455871
2070 -4.02654762615576 -5.53255311768998 1.50600549153422 1.00446085758976 1.08685422358316
2071 -4.0267364603688 -5.53176985301228 1.50503339264348 1.00381249655062 1.0904082717253
2072 -4.0268482656121 -5.53059577645945 1.50374751084736 1.00295485164895 1.09511228303047
2073 -4.02692940945888 -5.52914768214954 1.50221827269067 1.0019348952949 1.10060136028401
2074 -4.02691713368384 -5.52764024178595 1.50072310810211 1.00093766499707 1.10604402489144
2075 -4.02681775093173 -5.52646943486567 1.49965168393394 1.0002230569529 1.11017069263837
2076 -4.02679135948614 -5.52606320167265 1.49927184218651 0.999969713808065 1.11185719342188
2077 -4.02695209944009 -5.52650194153891 1.49954984209882 1.00015513147878 1.11100084624958
2078 -4.02708970514955 -5.52723487650157 1.50014517135202 1.00055219837899 1.10896493210796
2079 -4.02735823152908 -5.52799357032186 1.50063533879278 1.00087912547897 1.10679630757466
2080 -4.0274807596882 -5.52833263195946 1.50085187227126 1.00102354686702 1.10545829580953
2081 -4.02758591190233 -5.52851806496408 1.50093215306175 1.00107709176584 1.10429055030365
2082 -4.02757479716524 -5.52849324629121 1.50091844912597 1.00106795164838 1.1032878638142
2083 -4.02767554214719 -5.52826395023189 1.5005884080847 1.00084782409293 1.10277963480787
2084 -4.02754675246475 -5.52748131479297 1.49993456232822 1.00041172842596 1.10332652045085
2085 -4.0275835261802 -5.52704128700575 1.49945776082555 1.00009371600902 1.10276393704345
2086 -4.02772070978411 -5.52749003600377 1.49976932621966 1.0003015208575 1.09937256526751
2087 -4.02771421395503 -5.52876831680649 1.50105410285146 1.00115842864744 1.09305633822955
2088 -4.02787328658114 -5.53080704416628 1.50293375758514 1.00241210243308 1.08458821673823
2089 -4.0277351947016 -5.53245702114193 1.50472182644033 1.00360469116254 1.07692841113961
2090 -4.02772627234453 -5.53353539293285 1.50580912058833 1.0043298840111 1.07136190822534
2091 -4.02779952919813 -5.53373428738471 1.50593475818657 1.00441368055127 1.06882015516127
2092 -4.02792923586388 -5.53312738746817 1.50519815160429 1.00392238587572 1.06904608772119
2093 -4.02776848970773 -5.53165382228132 1.50388533257359 1.00304677464001 1.07167684250189
2094 -4.02780246536335 -5.53015274940779 1.50235028404443 1.00202294294038 1.07478297941693
2095 -4.02769815335638 -5.52875366392527 1.50105551056889 1.00115936755308 1.07739656229659
2096 -4.02750464935158 -5.5280746682861 1.50057001893451 1.00083555907684 1.07761149590988
2097 -4.02766751053482 -5.52897540722015 1.50130789668533 1.00132770158399 1.07338808984377
2098 -4.02756840564424 -5.53074953472749 1.50318112908325 1.00257709186275 1.06599255284084
2099 -4.02746317718995 -5.53308092792642 1.50561775073647 1.00420224601337 1.05684039193578
2100 -4.02758976092567 -5.53556170532692 1.50797194440124 1.00577242314801 1.04761510975704
2101 -4.02770767786055 -5.53756421087903 1.50985653301848 1.00702938768719 1.03997543519367
2102 -4.02785948885053 -5.53899084636733 1.5111313575168 1.00787965770019 1.03435887537166
2103 -4.02771222835775 -5.5394930664699 1.51178083811215 1.00831284193455 1.03139138760462
2104 -4.02757251293863 -5.53950397709227 1.51193146415365 1.00841330502294 1.03020834140975
2105 -4.02738626914113 -5.53929303782757 1.51190676868645 1.00839683388103 1.02985646766577
2106 -4.02727539214755 -5.53937723956844 1.51210184742089 1.00852694559311 1.02884932641233
2107 -4.02740281615375 -5.54009009930442 1.51268728315067 1.00891741380754 1.02632367441463
2108 -4.02741847124871 -5.54088039767325 1.51346192642455 1.00943407782475 1.02339529557507
2109 -4.02740993071715 -5.54143087241071 1.51402094169355 1.00980692437788 1.02112904513786
2110 -4.02742195455275 -5.54147655129578 1.51405459674303 1.00982937129461 1.02039577596213
2111 -4.02765011308682 -5.54112777694841 1.51347766386159 1.00944457422705 1.02117939246448
2112 -4.02767053508047 -5.5399766697532 1.51230613467272 1.00866319911232 1.0241616701236
2113 -4.02762297946545 -5.53811464762795 1.51049166816251 1.00745300393231 1.02932995431217
2114 -4.02762561437035 -5.53557269304456 1.5079470786742 1.00575583844785 1.0368255296511
2115 -4.0272998466554 -5.53204109339846 1.50474124674306 1.00361764392669 1.04707574202327
2116 -4.02744083518518 -5.52867499627059 1.50123416108541 1.00127852213256 1.05770772498251
2117 -4.02726035529724 -5.5252724230292 1.49801206773196 0.999129481726506 1.06816671946591
2118 -4.02709210361792 -5.52277439151203 1.49568228789411 0.997575587888088 1.07603151009252
2119 -4.02695969420674 -5.5215994184667 1.49463972425996 0.996880228961485 1.08002206687081
2120 -4.02702450767604 -5.52186363805968 1.49483913038364 0.997013226913435 1.08000395512705
2121 -4.02703644251164 -5.52278211520145 1.49574567268981 0.997617863661057 1.07801695172165
2122 -4.02711826795361 -5.52375606787511 1.49663779992151 0.998212885982862 1.07608676856437
